War,cb1d7f11-6333-11e6-8aa4-a45e60eb67c5,7.0,G,1939,"{'life-and-death','southern-u.s.','civil-war'}","Gone with the Wind"
Drama,cb30c34c-6333-11e6-963f-a45e60eb67c5,5.5,R,1939,"{'great-depression','drifter'}","Of Mice and Men"
Fantasy,cb1d7b35-6333-11e6-8914-a45e60eb67c5,6.7,G,1940,"{'dinosaurier','mouse','dancing'}","Fantasia"
Animation,cb1d7b35-6333-11e6-8914-a45e60eb67c5,6.7,G,1940,"{'dinosaurier','mouse','dancing'}","Fantasia"
Music,cb1d7b35-6333-11e6-8914-a45e60eb67c5,6.7,G,1940,"{'dinosaurier','mouse','dancing'}","Fantasia"
Family,cb1d7b35-6333-11e6-8914-a45e60eb67c5,6.7,G,1940,"{'dinosaurier','mouse','dancing'}","Fantasia"
Animation,cb22cf1e-6333-11e6-b65b-a45e60eb67c5,6.4,G,1941,"{'circus','dream','mother'}","Dumbo"
Family,cb22cf1e-6333-11e6-b65b-a45e60eb67c5,6.4,G,1941,"{'circus','dream','mother'}","Dumbo"
Drama,cb1ee161-6333-11e6-9e93-a45e60eb67c5,7.0,G,1942,"{'comeback','dancer','song'}","Yankee Doodle Dandy"
Music,cb1ee161-6333-11e6-9e93-a45e60eb67c5,7.0,G,1942,"{'comeback','dancer','song'}","Yankee Doodle Dandy"
Drama,cb1eea82-6333-11e6-88d8-a45e60eb67c5,6.5,G,1942,"{'wald','loss-of-mother','roe'}","Bambi"
Animation,cb1eea82-6333-11e6-88d8-a45e60eb67c5,6.5,G,1942,"{'wald','loss-of-mother','roe'}","Bambi"
Family,cb1eea82-6333-11e6-88d8-a45e60eb67c5,6.5,G,1942,"{'wald','loss-of-mother','roe'}","Bambi"
Drama,cb1d05f3-6333-11e6-a471-a45e60eb67c5,7.5,PG,1942,"{'spy','love-triangle','corruption'}","Casablanca"
Romance,cb1d05f3-6333-11e6-a471-a45e60eb67c5,7.5,PG,1942,"{'spy','love-triangle','corruption'}","Casablanca"
Action,cb28cae8-6333-11e6-82ef-a45e60eb67c5,4.0,PG-13,1943,"{'billy-the-kid','doc-holliday','sheriff'}","The Outlaw"
Adventure,cb28cae8-6333-11e6-82ef-a45e60eb67c5,4.0,PG-13,1943,"{'billy-the-kid','doc-holliday','sheriff'}","The Outlaw"
Western,cb28cae8-6333-11e6-82ef-a45e60eb67c5,4.0,PG-13,1943,"{'billy-the-kid','doc-holliday','sheriff'}","The Outlaw"
Drama,cb2ea23a-6333-11e6-82b5-a45e60eb67c5,6.1,G,1944,"{'jewish','embezzlement','suitor'}","Mr. Skeffington"
Romance,cb2ea23a-6333-11e6-82b5-a45e60eb67c5,6.1,G,1944,"{'jewish','embezzlement','suitor'}","Mr. Skeffington"
Animation,cb2631b8-6333-11e6-8144-a45e60eb67c5,6.1,G,1944,"","The Three Caballeros"
Family,cb2631b8-6333-11e6-8144-a45e60eb67c5,6.1,G,1944,"","The Three Caballeros"
Drama,cb27a805-6333-11e6-8618-a45e60eb67c5,2.7,PG-13,1945,"{'philippines'}","Back to Bataan"
Action,cb27a805-6333-11e6-8618-a45e60eb67c5,2.7,PG-13,1945,"{'philippines'}","Back to Bataan"
War,cb27a805-6333-11e6-8618-a45e60eb67c5,2.7,PG-13,1945,"{'philippines'}","Back to Bataan"
Drama,cb1da028-6333-11e6-a420-a45e60eb67c5,5.7,PG-13,1945,"{'infidelity','passion','housewife'}","Brief Encounter"
Romance,cb1da028-6333-11e6-a420-a45e60eb67c5,5.7,PG-13,1945,"{'infidelity','passion','housewife'}","Brief Encounter"
Drama,cb237f17-6333-11e6-b9c6-a45e60eb67c5,6.5,G,1947,"{'mutter-tochter-beziehung','holiday','santa-claus'}","Miracle on 34th Street"
Family,cb237f17-6333-11e6-b9c6-a45e60eb67c5,6.5,G,1947,"{'mutter-tochter-beziehung','holiday','santa-claus'}","Miracle on 34th Street"
Drama,cb27f38f-6333-11e6-9106-a45e60eb67c5,5.0,PG,1948,"{'publisher','magazine','clock'}","The Big Clock"
Mystery,cb27f38f-6333-11e6-9106-a45e60eb67c5,5.0,PG,1948,"{'publisher','magazine','clock'}","The Big Clock"
Thriller,cb27f38f-6333-11e6-9106-a45e60eb67c5,5.0,PG,1948,"{'publisher','magazine','clock'}","The Big Clock"
Crime,cb27f38f-6333-11e6-9106-a45e60eb67c5,5.0,PG,1948,"{'publisher','magazine','clock'}","The Big Clock"
Horror,cb1edde6-6333-11e6-ae46-a45e60eb67c5,7.7,PG,1948,"{'frankenstein','dracula','horror-spoof'}","Abbott and Costello Meet Frankenstein"
Comedy,cb1edde6-6333-11e6-ae46-a45e60eb67c5,7.7,PG,1948,"{'frankenstein','dracula','horror-spoof'}","Abbott and Costello Meet Frankenstein"
Romance,cb22ac4f-6333-11e6-ad02-a45e60eb67c5,6.6,G,1950,"{'loss-of-parents','ball','mouse'}","Cinderella"
Fantasy,cb22ac4f-6333-11e6-ad02-a45e60eb67c5,6.6,G,1950,"{'loss-of-parents','ball','mouse'}","Cinderella"
Animation,cb22ac4f-6333-11e6-ad02-a45e60eb67c5,6.6,G,1950,"{'loss-of-parents','ball','mouse'}","Cinderella"
Family,cb22ac4f-6333-11e6-ad02-a45e60eb67c5,6.6,G,1950,"{'loss-of-parents','ball','mouse'}","Cinderella"
Drama,cb279dd1-6333-11e6-bcc1-a45e60eb67c5,6.3,G,1950,"{'scream','jazz-club','doctor'}","D.O.A."
Mystery,cb279dd1-6333-11e6-bcc1-a45e60eb67c5,6.3,G,1950,"{'scream','jazz-club','doctor'}","D.O.A."
Crime,cb279dd1-6333-11e6-bcc1-a45e60eb67c5,6.3,G,1950,"{'scream','jazz-club','doctor'}","D.O.A."
Drama,cb1d73fa-6333-11e6-bb04-a45e60eb67c5,7.3,PG,1950,"{'star','engagement','fan'}","All About Eve"
Thriller,cb1d9ae3-6333-11e6-950c-a45e60eb67c5,7.1,PG,1951,"{'mental-disease','tennis','perfect-crime'}","Strangers on a Train"
Crime,cb1d9ae3-6333-11e6-950c-a45e60eb67c5,7.1,PG,1951,"{'mental-disease','tennis','perfect-crime'}","Strangers on a Train"
Fantasy,cb239cca-6333-11e6-a00e-a45e60eb67c5,6.6,G,1951,"{'nothing','heart','queen'}","Alice in Wonderland"
Animation,cb239cca-6333-11e6-a00e-a45e60eb67c5,6.6,G,1951,"{'nothing','heart','queen'}","Alice in Wonderland"
Music,cb239cca-6333-11e6-a00e-a45e60eb67c5,6.6,G,1951,"{'nothing','heart','queen'}","Alice in Wonderland"
Adventure,cb239cca-6333-11e6-a00e-a45e60eb67c5,6.6,G,1951,"{'nothing','heart','queen'}","Alice in Wonderland"
Family,cb239cca-6333-11e6-a00e-a45e60eb67c5,6.6,G,1951,"{'nothing','heart','queen'}","Alice in Wonderland"
Action,cb267223-6333-11e6-8f20-a45e60eb67c5,6.2,G,1951,"{'space-travel','rocket'}","When Worlds Collide"
Fantasy,cb267223-6333-11e6-8f20-a45e60eb67c5,6.2,G,1951,"{'space-travel','rocket'}","When Worlds Collide"
Thriller,cb267223-6333-11e6-8f20-a45e60eb67c5,6.2,G,1951,"{'space-travel','rocket'}","When Worlds Collide"
Science Fiction,cb267223-6333-11e6-8f20-a45e60eb67c5,6.2,G,1951,"{'space-travel','rocket'}","When Worlds Collide"
Drama,cb1d947a-6333-11e6-8c47-a45e60eb67c5,6.8,G,1951,"{'extraterrestrial-technology','spacecraft','u.s.-president'}","The Day the Earth Stood Still"
