cb1d5c97-6333-11e6-9d97-a45e60eb67c5,6.8,"One of the most famous musical films and the first film from Hollywood to use color. Young Dorothy finds herself in a magical world where she makes friends with a lion, a scarecrow and a tin man as they make their way along the yellow brick road to talk with the Wizard and ask for the things they miss most in their lives. The Wicked Witch of the West is the only thing that could stop them.","{'Fantasy','Adventure','Family'}",G,,1939-08-25,1939,"The Wizard of Oz",Movie,http://thewizardofoz.warnerbros.com/,be5bdb90-5839-11e6-a324-8531257b399d
cb2e6a4a-6333-11e6-8976-a45e60eb67c5,6.3,"Gulliver washes ashore on Lilliput and attempts to prevent war between that tiny kingdom and its equally-miniscule rival, Blefiscu, as well as smooth the way for the romance between the Princess and Prince of the opposing lands. In this he is alternately aided and hampered by the Lilliputian town crier and general fussbudget, Gabby. A life-threatening situation develops when the bumbling trio of Blefiscu spies, Sneak, Snoop, and Snitch, manage to steal Gulliver's pistol.","{'Action','Animation','Adventure','Family'}",G,,1939-11-10,1939,"Gulliver's Travels",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
cb1d7f11-6333-11e6-8aa4-a45e60eb67c5,7.0,"An American classic in which a manipulative woman and a roguish man carry on a turbulent love affair in the American south during the Civil War and Reconstruction.","{'Drama','Romance','War'}",G,,1939-12-15,1939,"Gone with the Wind",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
cb30c34c-6333-11e6-963f-a45e60eb67c5,5.5,"A mentally retarded giant and his level headed guardian find work at a sadistic cowboy's ranch in depression era America.","{'Drama'}",R,,1939-12-30,1939,"Of Mice and Men",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
cb1d7b35-6333-11e6-8914-a45e60eb67c5,6.7,"Fantasia is the adventurous 1940 experiment from Disney. The film sets Disney animated characters to classical music as Mickey Mouse uses his magic wand to set broomsticks dancing in one of the more famous elaborate scenes. The film was groundbreaking in its usage of animation and music and is still considered a masterpiece decades later.","{'Fantasy','Animation','Music','Family'}",G,,1940-11-13,1940,"Fantasia",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
cb22cf1e-6333-11e6-b65b-a45e60eb67c5,6.4,"Dumbo is a baby elephant born with oversized ears and a supreme lack of confidence. But thanks to his even more diminutive buddy -- Timothy the Mouse -- the pint-sized pachyderm learns to surmount all obstacles.","{'Animation','Family'}",G,,1941-10-23,1941,"Dumbo",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
cb1ee161-6333-11e6-9e93-a45e60eb67c5,7.0,"A film of the life of the renowned musical composer, playwright, actor, dancer and singer George M. Cohan.","{'Drama','Music'}",G,,1942-06-06,1942,"Yankee Doodle Dandy",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
cb1eea82-6333-11e6-88d8-a45e60eb67c5,6.5,"The animated story of Bambi, a young deer hailed as the 'Prince of the Forest' at his birth. As Bambi grows, he makes friends with the other animals of the forest, learns the skills needed to survive, and even finds love. One day, however, the hunters come, and Bambi must learn to be as brave as his father if he is to lead the other deer to safety.","{'Drama','Animation','Family'}",G,,1942-08-12,1942,"Bambi",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
cb1d05f3-6333-11e6-a471-a45e60eb67c5,7.5,"Casablanca is a classic and one of the most revered films of all time. Starring Humphrey Bogart and Ingrid Bergman in a love triangle in the city of Casablanca which is a refuge for many fleeing foreigners looking for a new life during the war. Political romance with a backdrop of war conflict between democracy and totalitarianism. A landmark in film history.","{'Drama','Romance'}",PG,,1942-11-26,1942,"Casablanca",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
cb28cae8-6333-11e6-82ef-a45e60eb67c5,4.0,"Newly appointed sheriff Pat Garrett is pleased when his old friend Doc Holliday arrives in Lincoln, New Mexico on the stage. Doc is trailing his stolen horse, and it is discovered in the possession of Billy the Kid. In a surprising turnaround, Billy and Doc become friends. This causes the friendship between Doc and Pat to cool. The odd relationship between Doc and Billy grows stranger when Doc hides Billy at his girl, Rio's, place after Billy is shot.","{'Action','Adventure','Western'}",PG-13,,1943-02-05,1943,"The Outlaw",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
cb2ea23a-6333-11e6-82b5-a45e60eb67c5,6.1,"A popular and beautiful woman is forced into a loveless marriage with an older man to save her brother from an embezzlement charge.","{'Drama','Romance'}",G,,1944-05-25,1944,"Mr. Skeffington",Movie,,be5bdb90-5839-11e6-a324-8531257b399d
