1951,cb239cca-6333-11e6-a00e-a45e60eb67c5,6.6,"{'Fantasy','Animation','Music','Adventure','Family'}",G,"{'nothing','heart','queen'}","Alice in Wonderland"
1951,cb267223-6333-11e6-8f20-a45e60eb67c5,6.2,"{'Action','Fantasy','Thriller','Science Fiction'}",G,"{'space-travel','rocket'}","When Worlds Collide"
1951,cb1d947a-6333-11e6-8c47-a45e60eb67c5,6.8,"{'Drama','Science Fiction','Thriller'}",G,"{'extraterrestrial-technology','spacecraft','u.s.-president'}","The Day the Earth Stood Still"
1951,cb1d72b3-6333-11e6-b384-a45e60eb67c5,6.9,"{'Drama'}",PG,"{'sister-sister-relationship','southern-u.s.','brother-in-law'}","A Streetcar Named Desire"
1951,cb1d31e3-6333-11e6-95c9-a45e60eb67c5,6.8,"{'Romance','Adventure','War'}",G,"{'river','africa','missionary'}","The African Queen"
1952,cb1d0585-6333-11e6-9fbc-a45e60eb67c5,7.0,"{'Western'}",PG,"{'gunslinger','showdown','u.s.-marshal'}","High Noon"
1952,cb2ab5a8-6333-11e6-a551-a45e60eb67c5,7.2,"{'Drama','Romance','Comedy'}",G,"{'ballet-dancer'}","Limelight"
1953,cb22201e-6333-11e6-8069-a45e60eb67c5,6.6,"{'Fantasy','Animation','Music','Adventure','Family'}",G,"{'freibeuter','fairy','magic'}","Peter Pan"
1953,cb275aab-6333-11e6-a111-a45e60eb67c5,6.7,"{'Mystery','Horror','Crime'}",PG-13,"{'3d','wax-museum'}","House of Wax"
1953,cb2bfa57-6333-11e6-880b-a45e60eb67c5,3.8,"{'Fantasy','Music','Family'}",G,"{'dr.-seuss'}","The 5,000 Fingers of Dr. T."
1953,cb203c17-6333-11e6-b49a-a45e60eb67c5,6.5,"{'Science Fiction','Horror','Thriller'}",PG,"{'space-invasion','lasergun','space-marine'}","The War of the Worlds"
1953,cb1d87d4-6333-11e6-a879-a45e60eb67c5,7.6,"{'Romance','Comedy'}",G,"{'secret-identity','dance','boat'}","Roman Holiday"
1953,cb2de2a1-6333-11e6-8142-a45e60eb67c5,6.5,"{'Drama','Adventure'}",PG,"{'airplane','radio','survival'}","Island in the Sky"
1954,cb26f242-6333-11e6-b820-a45e60eb67c5,6.6,"{'Drama','Music','History'}",PG,"","The Glenn Miller Story"
1954,cb22688a-6333-11e6-b53e-a45e60eb67c5,6.6,"{'Science Fiction','Horror','Adventure'}",G,"{'water-monster','boat','chase'}","Creature from the Black Lagoon"
1954,cb1d3997-6333-11e6-897c-a45e60eb67c5,7.4,"{'Crime'}",PG,"{'jealousy','secret','london'}","Dial M for Murder"
1954,cb1d64ab-6333-11e6-8f06-a45e60eb67c5,7.9,"{'Drama','Crime'}",PG,"{'union','murder','suspense'}","On the Waterfront"
1954,cb268f1e-6333-11e6-a72e-a45e60eb67c5,5.9,"{'Drama','Comedy','Music','Western'}",G,"{'alarm','musical','uncle-niece-relationship'}","Seven Brides for Seven Brothers"
1954,cb1ee3f5-6333-11e6-b007-a45e60eb67c5,6.5,"{'Drama','Romance','Music'}",PG,"{'career','alcoholism','fame'}","A Star Is Born"
1954,cb309f73-6333-11e6-b976-a45e60eb67c5,6.5,"{'Drama','Romance','Music'}",G,"","Carmen Jones"
1954,cb1ce23d-6333-11e6-9b5b-a45e60eb67c5,6.0,"{'Drama','Science Fiction','Adventure'}",G,"{'diving','submarine','ocean'}","20,000 Leagues Under the Sea"
1955,cb1cf1fd-6333-11e6-8791-a45e60eb67c5,7.0,"{'Drama'}",PG,"{'individual','rebel','southern-u.s.'}","East of Eden"
1955,cb21b840-6333-11e6-8453-a45e60eb67c5,6.5,"{'Animation','Family'}",G,"{'lover-(female)','spaghetti','kiss'}","Lady and the Tramp"
1955,cb272e4c-6333-11e6-80cd-a45e60eb67c5,6.3,"{'Western'}",PG,"{'apache','rancher','cattle'}","The Man from Laramie"
1955,cb22aaca-6333-11e6-98c9-a45e60eb67c5,6.4,"{'Mystery','Comedy','Thriller'}",PG,"{'small-town','mord','frauenleiche'}","The Trouble with Harry"
1955,cb24d05c-6333-11e6-b218-a45e60eb67c5,4.6,"{'Music'}",G,"{'based-on-play','musical','frontier'}","Oklahoma!"
